Country_name;
AD_Andorra;
AE_Utd_Arab_Emir;
AF_Afghanistan;
AG_Antigua_Barbuda;
Al_Anguilla;
Al_Albania;
Am_Armenia;
AO_Angola;
AQ_Antartica;
AR_Argentina;
AS_Samoa_America;
AT_Austria;
AU_Australia;
AW_Aruba;
AX_Aland_Islands;
AZ_Azerbaijan;
BA_Bosnia_Herz;
BB_Barbados;
